case_no,cluster_file,opinion_file,date,judges,citation_id,reporter_number,is_clean
137952,TRUE,TRUE,10/4/2004,,122305,543 U.S. 817,FALSE
1490007,TRUE,TRUE,8/24/2006,,1462778,548 U.S. 936,FALSE
125495,TRUE,TRUE,12/2/2002,,109848,537 U.S. 1057,FALSE
125494,TRUE,TRUE,12/2/2002,,109847,537 U.S. 1056,FALSE
94082,TRUE,TRUE,1/21/1895,Harlan,78463,156 U.S. 51,FALSE
111336,TRUE,TRUE,2/25/1985,,95695,469 U.S. 1117,FALSE
129233,TRUE,TRUE,4/28/2003,,113586,538 U.S. 1002,FALSE
129231,TRUE,TRUE,4/28/2003,,113584,538 U.S. 1002,FALSE
129230,TRUE,TRUE,4/28/2003,,113583,538 U.S. 1002,FALSE
129237,TRUE,TRUE,4/28/2003,,113590,538 U.S. 1002,FALSE
129236,TRUE,TRUE,4/28/2003,,113589,538 U.S. 1002,FALSE
129235,TRUE,TRUE,4/28/2003,,113588,538 U.S. 1002,FALSE
129234,TRUE,TRUE,4/28/2003,,113587,538 U.S. 1002,FALSE
97931,TRUE,TRUE,6/10/1913,Day After Making the Foregoing Statement,82314,229 U.S. 397,FALSE
129238,TRUE,TRUE,4/28/2003,,113591,538 U.S. 1002,FALSE
133279,TRUE,TRUE,10/20/2003,,117632,540 U.S. 964,FALSE
111331,TRUE,TRUE,12/10/1984,,95690,469 U.S. 1058,FALSE
89371,TRUE,TRUE,11/27/1876,Clifford,59730,93 U.S. 247,FALSE
143756,TRUE,TRUE,4/4/2005,,128108,544 U.S. 969,FALSE
125499,TRUE,TRUE,12/2/2002,,109852,537 U.S. 1057,FALSE
111330,TRUE,TRUE,11/26/1984,,95689,469 U.S. 1043,FALSE
118894,TRUE,TRUE,3/18/2002,,103247,535 U.S. 943,FALSE
1993204,TRUE,TRUE,12/5/2005,,1965975,126 S. Ct. 798,FALSE
1993200,TRUE,TRUE,11/28/2005,,1965971,126 S. Ct. 163,FALSE
119047,TRUE,TRUE,3/25/2002,,103400,535 U.S. 953,FALSE
119046,TRUE,TRUE,3/25/2002,,103399,535 U.S. 953,FALSE
104436,TRUE,TRUE,6/2/1947,Burton,88819,331 U.S. 477,FALSE
119044,TRUE,TRUE,3/25/2002,,103397,535 U.S. 953,FALSE
119043,TRUE,TRUE,3/25/2002,,103396,535 U.S. 953,FALSE
1993209,TRUE,TRUE,12/5/2005,,1965979,546 U.S. 1070,FALSE
119040,TRUE,TRUE,3/25/2002,,103393,535 U.S. 953,FALSE
139764,TRUE,TRUE,11/1/2004,,124117,543 U.S. 956,FALSE
114432,TRUE,TRUE,10/12/1993,,98791,510 U.S. 920,FALSE
139765,TRUE,TRUE,11/1/2004,,124118,543 U.S. 956,FALSE
135465,TRUE,TRUE,4/5/2004,,119818,541 U.S. 973,FALSE
114547,TRUE,TRUE,10/12/1993,,98906,510 U.S. 928,FALSE
135464,TRUE,TRUE,4/5/2004,,119817,541 U.S. 973,FALSE
139768,TRUE,TRUE,11/1/2004,,124121,543 U.S. 956,FALSE
111548,TRUE,TRUE,12/10/1985,,95907,474 U.S. 213,FALSE
111549,TRUE,TRUE,12/12/1985,Stevens,95908,474 U.S. 214,FALSE
139769,TRUE,TRUE,11/1/2004,,124122,543 U.S. 956,FALSE
111542,TRUE,TRUE,12/3/1985,O'Connor,95901,474 U.S. 104,FALSE
111543,TRUE,TRUE,12/3/1985,Per Curiam,95902,474 U.S. 120,FALSE
111540,TRUE,TRUE,1/27/1986,Rehnquist,95899,474 U.S. 64,FALSE
111541,TRUE,TRUE,12/3/1985,O'Connor,95900,474 U.S. 82,FALSE
111546,TRUE,TRUE,12/10/1985,Brennan,95905,474 U.S. 159,FALSE
111547,TRUE,TRUE,12/10/1985,Blackmun,95906,474 U.S. 193,FALSE
111544,TRUE,TRUE,12/4/1985,White,95903,474 U.S. 121,FALSE
111545,TRUE,TRUE,1/27/1986,Marshall,95904,474 U.S. 140,FALSE
110497,TRUE,TRUE,5/18/1981,,94856,451 U.S. 994,FALSE
110496,TRUE,TRUE,5/18/1981,,94855,451 U.S. 949,FALSE
110495,TRUE,TRUE,6/15/1981,,94854,451 U.S. 945,FALSE
110493,TRUE,TRUE,4/27/1981,,94852,451 U.S. 929,FALSE
110492,TRUE,TRUE,4/20/1981,,94851,451 U.S. 926,FALSE
110491,TRUE,TRUE,6/8/1981,,94850,451 U.S. 923,FALSE
110490,TRUE,TRUE,6/8/1981,,94849,451 U.S. 921,FALSE
107893,TRUE,TRUE,4/2/1969,Stewart,92252,394 U.S. 478,FALSE
107892,TRUE,TRUE,4/2/1969,Warren,92251,394 U.S. 459,FALSE
107891,TRUE,TRUE,5/19/1969,Per Curiam,92250,394 U.S. 458,FALSE
107890,TRUE,TRUE,4/1/1969,Fortas,92249,394 U.S. 440,FALSE
110499,TRUE,TRUE,5/18/1981,,94858,451 U.S. 1002,FALSE
110498,TRUE,TRUE,5/18/1981,,94857,451 U.S. 997,FALSE
126463,TRUE,TRUE,1/13/2003,,110816,537 U.S. 1131,FALSE
126462,TRUE,TRUE,1/13/2003,,110815,537 U.S. 1131,FALSE
126460,TRUE,TRUE,1/13/2003,,110813,537 U.S. 1131,FALSE
126467,TRUE,TRUE,1/13/2003,,110820,537 U.S. 1131,FALSE
126466,TRUE,TRUE,1/13/2003,,110819,537 U.S. 1131,FALSE
126465,TRUE,TRUE,1/13/2003,,110818,537 U.S. 1131,FALSE
126464,TRUE,TRUE,1/13/2003,,110817,537 U.S. 1131,FALSE
145790,TRUE,TRUE,6/19/2008,,130119,554 U.S. 60,FALSE
126468,TRUE,TRUE,1/13/2003,,110821,537 U.S. 1131,FALSE
133984,TRUE,TRUE,11/17/2003,,118337,540 U.S. 1020,FALSE
127730,TRUE,TRUE,3/3/2003,,112083,537 U.S. 1234,FALSE
127731,TRUE,TRUE,3/3/2003,,112084,537 U.S. 1234,FALSE
127732,TRUE,TRUE,3/3/2003,,112085,537 U.S. 1234,FALSE
127733,TRUE,TRUE,3/3/2003,,112086,537 U.S. 1234,FALSE
127734,TRUE,TRUE,3/3/2003,,112087,537 U.S. 1234,FALSE
127735,TRUE,TRUE,3/3/2003,,112088,537 U.S. 1234,FALSE
127736,TRUE,TRUE,3/3/2003,,112089,537 U.S. 1234,FALSE
127737,TRUE,TRUE,3/3/2003,,112090,537 U.S. 1234,FALSE
127738,TRUE,TRUE,3/3/2003,,112091,537 U.S. 1234,FALSE
127739,TRUE,TRUE,3/3/2003,,112092,537 U.S. 1235,FALSE
116227,TRUE,TRUE,1/10/1994,,100586,510 U.S. 1062,FALSE
92882,TRUE,TRUE,12/8/1890,Blatchford,77262,137 U.S. 310,FALSE
92880,TRUE,TRUE,12/8/1890,Fuller After Stating the Case as Above Reported,77260,137 U.S. 287,FALSE
113434,TRUE,TRUE,10/4/1993,,97793,510 U.S. 844,FALSE
92888,TRUE,TRUE,12/15/1890,Gray After Stating the Case as Above,77268,137 U.S. 370,FALSE
114440,TRUE,TRUE,10/12/1993,,98799,510 U.S. 921,FALSE
114441,TRUE,TRUE,10/12/1993,,98800,510 U.S. 921,FALSE
114442,TRUE,TRUE,10/12/1993,,98801,510 U.S. 921,FALSE
114443,TRUE,TRUE,10/12/1993,,98802,510 U.S. 921,FALSE
114444,TRUE,TRUE,10/12/1993,,98803,510 U.S. 921,FALSE
114445,TRUE,TRUE,10/12/1993,,98804,510 U.S. 921,FALSE
114446,TRUE,TRUE,10/12/1993,,98805,510 U.S. 921,FALSE
114447,TRUE,TRUE,10/12/1993,,98806,510 U.S. 921,FALSE
114448,TRUE,TRUE,10/12/1993,,98807,510 U.S. 921,FALSE
114449,TRUE,TRUE,10/12/1993,,98808,510 U.S. 921,FALSE
144473,TRUE,TRUE,5/2/2005,,128825,544 U.S. 1023,FALSE
93139,TRUE,TRUE,5/25/1891,Brown,77519,141 U.S. 206,FALSE
104278,TRUE,TRUE,4/22/1946,,88661,328 U.S. 1,FALSE
104279,TRUE,TRUE,4/22/1946,Black,88662,328 U.S. 8,FALSE
104277,TRUE,TRUE,2/11/1946,,88660,327 U.S. 759,FALSE
104274,TRUE,TRUE,4/1/1946,Burton,88657,327 U.S. 711,FALSE
104275,TRUE,TRUE,5/27/1946,,88658,327 U.S. 726,FALSE
93131,TRUE,TRUE,5/25/1891,Fuller After Stating the Case,77511,141 U.S. 87,FALSE
93130,TRUE,TRUE,5/25/1891,Harlan,77510,141 U.S. 81,FALSE
104271,TRUE,TRUE,3/25/1946,Rutledge,88654,327 U.S. 661,FALSE
123275,TRUE,TRUE,10/7/2002,,107628,537 U.S. 881,FALSE
123274,TRUE,TRUE,10/7/2002,,107627,537 U.S. 881,FALSE
98102,TRUE,TRUE,2/24/1914,Van Devanter,82485,232 U.S. 463,FALSE
114435,TRUE,TRUE,10/12/1993,,98794,510 U.S. 920,FALSE
123276,TRUE,TRUE,10/7/2002,,107629,537 U.S. 881,FALSE
133983,TRUE,TRUE,11/17/2003,,118336,540 U.S. 1020,FALSE
123271,TRUE,TRUE,10/7/2002,,107624,537 U.S. 881,FALSE
123273,TRUE,TRUE,10/7/2002,,107626,537 U.S. 881,FALSE
99850,TRUE,TRUE,10/24/1921,Holmes,84233,257 U.S. 1,FALSE
99851,TRUE,TRUE,10/24/1921,Pitney,84234,257 U.S. 6,FALSE
99852,TRUE,TRUE,11/7/1921,Taft,84235,257 U.S. 10,FALSE
99853,TRUE,TRUE,11/7/1921,Taft,84236,257 U.S. 27,FALSE
99856,TRUE,TRUE,11/7/1921,Holmes,84239,257 U.S. 47,FALSE
133980,TRUE,TRUE,11/17/2003,,118333,540 U.S. 1020,FALSE
93077,TRUE,TRUE,5/11/1891,Brown,77457,140 U.S. 169,FALSE
134193,TRUE,TRUE,12/1/2003,,118546,540 U.S. 1051,FALSE
105639,TRUE,TRUE,3/3/1958,Per Curiam,90022,355 U.S. 600,FALSE
105638,TRUE,TRUE,3/3/1958,Per Curiam,90021,355 U.S. 597,FALSE
105636,TRUE,TRUE,3/3/1958,Per Curiam,90019,355 U.S. 587,FALSE
102942,TRUE,TRUE,1/17/1938,,87325,302 U.S. 767,FALSE
102943,TRUE,TRUE,10/4/1937,,87326,302 U.S. 769,FALSE
102940,TRUE,TRUE,1/10/1938,,87323,302 U.S. 765,FALSE
102941,TRUE,TRUE,1/17/1938,,87324,302 U.S. 766,FALSE
102946,TRUE,TRUE,1/31/1938,Hughes,87329,303 U.S. 10,FALSE
102947,TRUE,TRUE,1/31/1938,Per Curiam,87330,303 U.S. 17,FALSE
102944,TRUE,TRUE,11/8/1937,,87327,302 U.S. 777,FALSE
143999,TRUE,TRUE,4/18/2005,,128351,544 U.S. 986,FALSE
143996,TRUE,TRUE,4/18/2005,,128348,544 U.S. 986,FALSE
143997,TRUE,TRUE,4/18/2005,,128349,544 U.S. 986,FALSE
143994,TRUE,TRUE,4/18/2005,,128346,544 U.S. 986,FALSE
143995,TRUE,TRUE,4/18/2005,,128347,544 U.S. 986,FALSE
143992,TRUE,TRUE,4/18/2005,,128344,544 U.S. 986,FALSE
143993,TRUE,TRUE,4/18/2005,,128345,544 U.S. 986,FALSE
143990,TRUE,TRUE,4/18/2005,,128342,544 U.S. 986,FALSE
143991,TRUE,TRUE,4/18/2005,,128343,544 U.S. 986,FALSE
113148,TRUE,TRUE,10/4/1993,,97507,510 U.S. 822,FALSE
113149,TRUE,TRUE,10/4/1993,,97508,510 U.S. 822,FALSE
113144,TRUE,TRUE,10/4/1993,,97503,510 U.S. 822,FALSE
113145,TRUE,TRUE,10/4/1993,,97504,510 U.S. 822,FALSE
113146,TRUE,TRUE,10/4/1993,,97505,510 U.S. 822,FALSE
113147,TRUE,TRUE,10/4/1993,,97506,510 U.S. 822,FALSE
113140,TRUE,TRUE,10/4/1993,,97499,510 U.S. 822,FALSE
113141,TRUE,TRUE,10/4/1993,,97500,510 U.S. 822,FALSE
113142,TRUE,TRUE,10/4/1993,,97501,510 U.S. 822,FALSE
113143,TRUE,TRUE,10/4/1993,,97502,510 U.S. 822,FALSE
113435,TRUE,TRUE,10/4/1993,,97794,510 U.S. 844,FALSE
