Abbrev,Name,Count,Jurisdiction,Citation Abbrev,Start Date,End Date,In Use,Last Modified
mdctspecapp,Court of Special Appeals of Maryland,8147,State Appellate,Md. Ct. Spec. App.,Unknown,Unknown,Yes,2014-06-27T13:56
mdag,Maryland Attorney General Reports,0,State Attorney General,Md. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:08
mass,Massachusetts Supreme Judicial Court,8987,State Supreme,Mass.,Unknown,Unknown,Yes,2014-07-17T07:48
massappct,Massachusetts Appeals Court,3177,State Appellate,Mass. App. Ct.,Unknown,Unknown,Yes,2014-07-17T07:49
masssuperct,Massachusetts Superior Court,0,State Appellate,Mass. Super. Ct.,Unknown,Unknown,Yes,2016-04-21T11:46
massdistct,Massachusetts District Court,0,State Appellate,Mass. Dist. Ct.,Unknown,Unknown,Yes,2016-04-21T11:46
maworkcompcom,Massachusetts Department of Industrial Accidents,0,State Special,Mass. Dep't Indus. Accid.,Unknown,Unknown,Yes,2016-05-18T12:03
mich,Michigan Supreme Court,36755,State Supreme,Mich.,Unknown,Unknown,Yes,2013-08-14T09:46
michctapp,Michigan Court of Appeals,22230,State Appellate,Mich. Ct. App.,Unknown,Unknown,Yes,2013-09-08T17:56
minn,Supreme Court of Minnesota,12379,State Supreme,Minn.,Unknown,Unknown,Yes,2014-07-11T13:23
minnctapp,Court of Appeals of Minnesota,10111,State Appellate,Minn. Ct. App.,Unknown,Unknown,Yes,2014-07-11T13:23
miss,Mississippi Supreme Court,18927,State Supreme,Miss.,Unknown,Unknown,Yes,2013-08-14T09:46
missctapp,Court of Appeals of Mississippi,5808,State Appellate,Miss. Ct. App.,Unknown,Unknown,Yes,2013-09-08T23:27
mo,Supreme Court of Missouri,8077,State Supreme,Mo.,Unknown,Unknown,Yes,2013-09-08T19:00
moctapp,Missouri Court of Appeals,28018,State Appellate,Mo. Ct. App.,Unknown,Unknown,Yes,2013-09-08T17:58
moag,Missouri Attorney General Reports,0,State Attorney General,Mo. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:09
mont,Montana Supreme Court,17444,State Supreme,Mont.,Unknown,Unknown,Yes,2013-08-14T09:46
montag,Montana Attorney General Reports,0,State Attorney General,Mont. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:16
neb,Nebraska Supreme Court,14439,State Supreme,Neb.,Unknown,Unknown,Yes,2013-08-14T09:46
nebctapp,Nebraska Court of Appeals,1807,State Appellate,Neb. Ct. App.,Unknown,Unknown,Yes,2013-08-14T15:43
nebag,Nebraska Attorney General Reports,0,State Attorney General,Neb. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:10
nev,Nevada Supreme Court,7908,State Supreme,Nev.,Unknown,Unknown,Yes,2013-08-14T09:46
nh,Supreme Court of New Hampshire,4099,State Supreme,N.H.,Unknown,Unknown,Yes,2014-07-02T13:37
nj,Supreme Court of New Jersey,12751,State Supreme,N.J.,Unknown,Unknown,Yes,2013-09-08T18:34
njsuperctappdiv,New Jersey Superior Court,19922,State Appellate,N.J. Super. Ct. App. Div.,Unknown,Unknown,Yes,2013-09-08T18:18
njtaxct,New Jersey Tax Court,6,State Special,N.J. Tax Ct.,Unknown,Unknown,Yes,2013-10-16T14:42
njch,New Jersey Court of Chancery,0,State Appellate,N.J. Ct. of Ch.,1684-01-01,12/31/1947,Yes,2016-06-18T13:01
nm,New Mexico Supreme Court,7505,State Supreme,N.M.,Unknown,Unknown,Yes,2013-08-14T09:46
nmctapp,New Mexico Court of Appeals,6139,State Appellate,N.M. Ct. App.,Unknown,Unknown,Yes,2013-08-14T15:43
ny,New York Court of Appeals,16915,State Supreme,NY,Unknown,Unknown,Yes,2014-08-21T15:51
nyappdiv,Appellate Division of the Supreme Court of the State of New York,15074,State Appellate,N.Y. App. Div.,Unknown,Unknown,Yes,2014-08-08T12:52
nyappterm,Appellate Terms of the Supreme Court of New York,410,State Appellate,N.Y. App. Term.,Unknown,Unknown,Yes,2015-10-29T12:29
nysupct,New York Supreme Court,37,State Trial,N.Y. Sup. Ct.,Unknown,Unknown,Yes,2015-10-29T12:44
